"select_Adress","select_Rooms","select_m2","select_Price","select_Floor"
"Brīvības 91","2","49","480 €/mēn.","2/6"
"Miera 10","2","75","123,500 €","3/5"
"Klijānu 16","2","31","83,000 €","4/9"
"Klijānu 16","1","28","53,000 €","1/9"
"Brīvības 103","2","60","70 €/dienā","6/6"
"M. Krasta 39","1","50","56,000 €","1/4"
"Stabu 29","5","136","320,000 €","5/6"
"Klusā 9","2","60","94,000 €","5/5"
"Tomsona 42","1","31","47,000 €","5/5"
"Barona 76","1","38","85,000 €","3/5"
"Barona 122/2","2","79","100,000 €","5/6"
"Čaka 70","6","180","250,000 €","3/6"
"Pļavas 4","2","37","83,000 €","1/3"
"- 2020","Citi","-","pērku","20/2"
"Sadovņikova 29A","3","65","112,000 €","5/6"
"Vidus 11","4","136","1,500 €/mēn.","1/5"
"Maskavas 57","2","70","500 €/mēn.","2/2"
"-","Citi","-","pērku","-"
"Brīvības 132","Citi","250","175,000 €","1/4"
"Lāčplēša 18","4","107","1,000 €/mēn.","4/6"
"Kalpaka bulv. 7","3","135","1,300 €/mēn.","2/7"
"Rūpniecības 21","3","94","261,000 €","3/7"
