"select_Adress","select_Rooms","select_m2","select_Price","select_Floor"
"Tērbatas 45","3","75","800 €/mēn.","4/4"
"Tallinas 38","2","56","350 €/mēn.","3/5"
"Elizabetes 6","2","43","380 €/mēn.","1/6"
"Ģertrūdes 90","3","80","145,000 €","4/6"
"Čaka 33","3","100","100 €/dienā","7/7"
"Republikas laukums..","2","60","179,000 €","2/7"
"Gogoļa 10","3","77","115,000 €","2/5"
"Dzirnavu 6","3","88","288,000 €","4/4"
"Dzirnavu 7","4","53","112,200 €","1/3"
"Stabu 94","2","69","430 €/mēn.","6/6"
"-","2","-","vēlos
īret","-"
"Barona 60","3","58","95,000 €","3/3"
"Laboratorijas 4","4","67","109,500 €","2/5"
"Birznieka-Upīša 29","3","78","750 €/mēn.","5/5"
"Laboratorijas 4","3","58","83,950 €","5/5"
"Dzirnavu 6a","3","103","268,000 €","1/4"
"Lauku 1A","3","56","550 €/mēn.","3/4"
"Krasta 86","1","38","59,850 €","8/11"
"Dzirnavu 6","2","48","149,000 €","4/4"
"Pulkv. Brieža 7","4","124","300,000 €","6/7"
"Riepnieku 2","2","51","450 €/mēn.","3/5"
"Zaubes 5","1","25","300 €/mēn.","3/5"
"Blaumaņa 16","4","136","405,000 €","4/6"
"Avotu 31","1","16","175 €/mēn.","1/5"
"Bruņinieku 58","2","62","102,500 €","5/6"
"Miera 50","2","36","340 €/mēn.","1/2"
"Lenču 2","3","78","650 €/mēn.","6/6"
"Pededzes 3","2","56","120,000 €","1/5"
"Katrīnas 8","3","36","17,500 €","2/2"
"Brīvības 148","1","20","35 €/dienā","2/6"
"Brīvības 150","4","109","139,500 €","5/6"
"Tērbatas 8b","3","89","105,000 €","1/7"
"Lāčplēša 23","6","152","349,000 €","3/5"
"Alberta 2A","3","67","750 €/mēn.","1/4"
"Alūksnes 2","2","45","84,000 €","5/5"
"Dzirnavu 6","2","49","149,000 €","4/4"
"Avotu 76","1","23","220 €/mēn.","2/2"
"Valdemāra 4","2","67","164,400 €","1/5"
"Kalniņa 1","1","22","420 €/mēn.","2/5"
"Barona 77A","1","35","430 €/mēn.","1/2"
"Tallinas 83","2","42","480 €/mēn.","4/5"
"Pulkv. Brieža 35","1","37","630 €/mēn.","4/7"
"Cēsu 43","3","68","170,000 €","3/6"
"Rūpniecības 13","2","62","430 €/mēn.","1/5"
"Tērbatas 59/61","6","178","313,000 €","5/6"
"Matīsa 63","2","39","97,000 €","4/7"
"Brīvības 163","3","69","500 €/mēn.","4/5"
"Brīvības 162","3","122","185,000 €","6/6"
"Indrānu 11","2","46","290 €/mēn.","3/3"
"Čaka 36","2","64","159,000 €","4/5"
"Tērbatas 85","2","60","430 €/mēn.","2/2"
"Tomsona 2","3","115","155,000 €","1/5"
"Kalniņa 1","1","25","830 €/mēn.","4/5"
"Ausekļa 4","4","125","450,000 €","5/7"
"Tallinas 41B","1","35","300 €/mēn.","1/2"
"Vagonu 22","1","30","55 €/dienā","3/5"
"Alūksnes 2","2","53","370 €/mēn.","4/5"
"Antonijas 22","2","80","129,000 €","1/7"
"Barona 82a","1","19","270 €/mēn.","1/1"
"Grostonas 21","3","83","210,000 €","6/10"
"Rūpniecības 16","2","60","600 €/mēn.","4/6"
"Baznīcas 13","2","38","390 €/mēn.","1/5"
"Vīlandes 16","1","43","99,000 €","6/6"
"Lāčplēša 44","2","50","200 €/mēn.","2/3"
"Dzirnavu 113A","2","54","470 €/mēn.","5/6"
"Lāčplēša 44/46","2","55","400 €/mēn.","4/4"
"Brīvības 103","3","74","159,000 €","3/6"
"Jeruzalemes 2/4","4","103","700 €/mēn.","3/6"
"Miera 15","2","47","350 €/mēn.","1/3"
"Laboratorijas 11","1","25","200 €/mēn.","4/5"
"Sadovņikova 37","1","40","210 €/mēn.","5/5"
"Laboratorijas 11","1","30","195 €/mēn.","4/5"
"Stabu 116","2","31","79,000 €","3/5"
"Lāčplēša 73A","3","72","350 €/mēn.","1/3"
"Stabu 8","3","80","1,100 €/mēn.","6/6"
"Brīvības 170","1","39","290 €/mēn.","5/6"
"Strēlnieku 8","3","107","382,180 €","1/7"
"Sapieru 3","1","26","55,000 €","1/7"
"Maskavas 48","2","31","370 €/mēn.","5/6"
"Visvalža 3b","2","46","79,000 €","1/5"
"Hospitāļu 36a","2","56","400 €/mēn.","4/5"
"Avotu 11","2","56","420 €/mēn.","5/6"
"Klusā 20","1","30","250 €/mēn.","6/9"
"Avotu 11","3","76","520 €/mēn.","2/6"
"Abrenes 11","1","40","350 €/mēn.","2/6"
"Tērbatas 85","2","60","500 €/mēn.","2/5"
"Skanstes 29","2","65","725 €/mēn.","5/23"
"Asara 15","1","38","250 €/mēn.","2/4"
"Ģertrūdes 77","1","35","55,000 €","2/4"
"Lāčplēša 54","4","127","189,500 €","5/6"
"Tallinas 33","2","55","420 €/mēn.","1/5"
"Stabu 49a","3","69","99,952 €","6/6"
"Stabu 49a","2","61","128,100 €","2/6"
"Marijas 14a","1","19","52,920 €","5/6"
"Čaka 31","3","45","550 €/mēn.","3/5"
"Brīvības 91","2","42","108,500 €","2/6"
"Brīvības 91","2","45","116,800 €","1/6"
